observation,string,abstract,node,accuracy
14,M2R0V0_RNG,A7,C1,1
15,M2R0V0_RNG,A7,C1,0.75
16,M2R0V0_RNG,A7,C1,0.8
17,M2R0V0_RNG,A7,C1,0.8
18,M2R0V0_RNG,A7,C1,1
19,M2R0V0_RNG,A7,C1,1
20,M2R0V0_RNG,A7,C1,1
21,M2R0V0_RNG,A7,C1,1
22,M2R0V0_RNG,A7,C1,1
23,M2R0V0_RNG,A7,C1,0.8
24,M2R0V0_RNG,A7,C1,1
25,M2R0V0_RNG,A7,C1,1
26,M2R0V0_RNG,A7,C1,1
27,M2R0V0_RNG,A7,C1,1
28,M2R0V0_RNG,A7,C1,1
29,M2R0V0_RNG,A7,C1,1
30,M2R0V0_RNG,A7,C1,0.8
1,M2R0V1_DEC,A7,C4,1
2,M2R0V1_DEC,A7,C4,1
3,M2R0V1_DEC,A7,C4,1
4,M2R0V1_DEC,A7,C4,0.8
5,M2R0V1_DEC,A7,C4,1
6,M2R0V1_DEC,A7,C4,0.6
7,M2R0V1_DEC,A7,C4,1
8,M2R0V1_DEC,A7,C4,0.8
9,M2R0V1_DEC,A7,C4,1
10,M2R0V1_DEC,A7,C4,1
11,M2R0V1_DEC,A7,C4,1
12,M2R0V1_DEC,A7,C4,1
13,M2R0V1_DEC,A7,C4,1
14,M2R0V1_DEC,A7,C4,0.3333333333
15,M2R0V1_DEC,A7,C4,1
16,M2R0V1_DEC,A7,C4,1
17,M2R0V1_DEC,A7,C4,1
18,M2R0V1_DEC,A7,C4,1
19,M2R0V1_DEC,A7,C4,1
20,M2R0V1_DEC,A7,C4,0.8
21,M2R0V1_DEC,A7,C4,1
22,M2R0V1_DEC,A7,C4,1
23,M2R0V1_DEC,A7,C4,1
24,M2R0V1_DEC,A7,C4,1
25,M2R0V1_DEC,A7,C4,1
26,M2R0V1_DEC,A7,C4,1
27,M2R0V1_DEC,A7,C4,1
28,M2R0V1_DEC,A7,C4,1
29,M2R0V1_DEC,A7,C4,1
30,M2R0V1_DEC,A7,C4,1
1,M2R1V0_RNG,A8,C1,1
2,M2R1V0_RNG,A8,C1,1
3,M2R1V0_RNG,A8,C1,0.8
4,M2R1V0_RNG,A8,C1,0.8
5,M2R1V0_RNG,A8,C1,1
6,M2R1V0_RNG,A8,C1,1
7,M2R1V0_RNG,A8,C1,0.8
